date,close,lower,middle,upper
2007-05-20,111.98,93.21,103.79,114.38
2007-05-21,113.54,94.59,104.81,115.02
2007-05-22,112.89,95.89,105.68,115.48
2007-05-23,110.69,96.79,106.28,115.76
2007-05-24,113.62,97.43,106.96,116.49
2007-05-28,114.35,98.24,107.69,117.14
2007-05-29,118.77,98.81,108.65,118.50
2007-05-30,121.19,99.15,109.69,120.23
2007-06-01,118.40,100.32,110.59,120.86
2007-06-04,121.33,101.36,111.62,121.88
2007-06-05,122.67,101.85,112.56,123.27
2007-06-06,123.64,102.30,113.49,124.67
2007-06-07,124.07,102.67,114.34,126.02
2007-06-08,124.49,103.18,115.20,127.23
2007-06-10,120.19,103.95,115.78,127.60
2007-06-11,120.38,104.74,116.33,127.91
2007-06-12,117.50,106.00,116.83,127.65
2007-06-13,118.75,107.52,117.40,127.28
2007-06-14,120.50,108.73,117.95,127.17
2007-06-17,125.09,109.75,118.70,127.65
2007-06-18,123.66,110.66,119.29,127.91
2007-06-19,121.55,111.45,119.69,127.92
2007-06-20,123.90,112.45,120.24,128.02
2007-06-21,123.00,114.42,120.85,127.29
2007-06-24,122.34,115.81,121.29,126.77
2007-06-25,119.65,117.06,121.55,126.05
2007-06-26,121.89,117.41,121.71,126.01
2007-06-27,120.56,117.36,121.68,126.00
2007-06-28,122.04,117.82,121.86,125.90
2007-07-02,121.26,117.82,121.86,125.90
2007-07-03,127.17,117.40,122.08,126.76
2007-07-05,132.75,115.87,122.54,129.21
2007-07-06,132.30,114.99,122.95,130.91
2007-07-09,130.33,114.64,123.24,131.84
2007-07-09,132.35,114.47,123.85,133.23
2007-07-10,132.39,114.49,124.45,134.41
2007-07-11,134.07,115.00,125.28,135.56
2007-07-12,137.73,115.02,126.23,137.43
2007-07-15,138.10,115.06,127.11,139.15
2007-07-16,138.91,114.70,127.80,140.89
2007-07-17,138.12,114.80,128.52,142.24
2007-07-18,140.00,115.23,129.44,143.66
2007-07-19,143.75,115.12,130.44,145.75
2007-07-22,143.70,115.49,131.47,147.45
2007-07-23,134.89,116.65,132.10,147.55
2007-07-24,137.26,118.54,132.98,147.42
2007-07-25,146.00,119.62,134.18,148.75
2007-07-26,143.85,121.67,135.35,149.02
2007-07-29,141.43,123.93,136.32,148.71
2007-07-30,131.76,126.40,136.84,147.28
2007-08-01,135.00,127.78,137.23,146.69
2007-08-02,136.49,128.19,137.42,146.65
2007-08-03,131.85,128.12,137.40,146.68
2007-08-06,135.25,128.91,137.64,146.38
2007-08-07,135.03,129.31,137.78,146.25
2007-08-08,134.01,129.57,137.86,146.15
2007-08-09,126.39,127.85,137.48,147.10
2007-08-09,125.00,125.72,136.84,147.96
2007-08-12,127.79,124.51,136.32,148.14
2007-08-13,124.03,122.63,135.58,148.53
2007-08-14,119.90,120.02,134.67,149.32
2007-08-15,117.05,117.14,133.52,149.90
2007-08-16,122.06,116.03,132.44,148.84
2007-08-19,122.22,115.26,131.36,147.47
2007-08-20,127.57,114.89,131.00,147.10
2007-08-21,132.51,114.91,130.76,146.61
2007-08-22,131.07,115.87,130.01,144.16
2007-08-23,135.30,116.75,129.59,142.43
2007-08-26,132.25,117.47,129.13,140.79
2007-08-27,126.82,117.25,128.88,140.51
2007-08-28,134.08,117.30,128.83,140.37
2007-08-29,136.25,117.32,128.82,140.33
2007-08-30,138.48,116.92,129.15,141.38
2007-09-04,144.16,115.87,129.60,143.32
2007-09-05,136.76,115.80,129.69,143.57
2007-09-06,135.01,115.77,129.74,143.70
2007-09-07,131.77,116.11,130.00,143.90
2007-09-09,136.71,116.59,130.59,144.59
2007-09-10,135.49,116.88,130.97,145.07
2007-09-11,136.85,117.68,131.62,145.55
2007-09-12,137.20,119.50,132.48,145.46
2007-09-13,138.81,122.53,133.57,144.61
2007-09-16,138.41,124.58,134.39,144.19
2007-09-17,140.92,126.94,135.32,143.71
2007-09-18,140.77,128.10,135.98,143.86
2007-09-19,140.31,128.44,136.37,144.30
2007-09-20,144.15,128.79,137.02,145.26
2007-09-23,148.28,128.08,137.67,147.27
2007-09-24,153.18,127.23,138.72,150.21
2007-09-25,152.77,128.33,140.02,151.71
2007-09-26,154.50,128.04,141.04,154.04
2007-09-27,153.47,127.99,141.90,155.81
2007-10-01,156.34,127.57,142.79,158.01
2007-10-02,158.45,126.75,143.51,160.26
2007-10-03,157.92,126.96,144.57,162.17
2007-10-04,156.24,127.88,145.63,163.37
2007-10-05,161.45,129.28,147.11,164.94
2007-10-08,167.91,129.28,148.67,168.06
2007-10-09,167.86,130.15,150.29,170.43
2007-10-09,166.79,131.40,151.79,172.17
2007-10-10,162.23,133.36,153.04,172.72
2007-10-11,167.25,135.00,154.46,173.92
2007-10-14,166.98,137.21,155.89,174.56
2007-10-15,169.58,139.09,157.32,175.55
2007-10-16,172.75,141.20,158.92,176.64
2007-10-17,173.50,144.02,160.58,177.14
2007-10-18,170.42,146.71,161.89,177.08
2007-10-21,174.36,148.46,163.20,177.93
2007-10-22,186.16,147.65,164.85,182.04
2007-10-23,185.93,147.88,166.50,185.13
2007-10-24,182.78,148.84,167.92,187.00
2007-10-25,184.70,150.27,169.48,188.69
2007-10-28,185.09,151.55,170.92,190.29
2007-10-29,187.00,152.64,172.34,192.05
2007-10-30,189.95,153.97,173.95,193.92
2007-11-01,187.44,156.50,175.51,194.51
2007-11-02,187.87,158.27,176.83,195.38
2007-11-05,186.18,159.23,177.74,196.25
2007-11-06,191.79,160.03,178.94,197.84
2007-11-07,186.30,161.64,179.91,198.18
2007-11-08,175.47,164.13,180.57,197.02
2007-11-09,165.37,163.70,180.48,197.26
2007-11-11,153.76,160.03,179.82,199.61
2007-11-12,169.96,160.09,179.84,199.59
2007-11-13,166.11,159.04,179.51,199.97
2007-11-14,164.30,157.63,179.05,200.47
2007-11-15,166.39,157.01,178.85,200.68
2007-11-18,163.95,155.56,178.32,201.09
2007-11-19,168.85,154.64,177.46,200.28
2007-11-20,168.46,153.79,176.59,199.38
2007-11-22,171.54,153.32,176.02,198.73
2007-11-25,172.54,153.04,175.42,197.79
2007-11-26,174.81,152.99,174.90,196.81
2007-11-27,180.22,153.24,174.56,195.89
2007-11-28,184.29,153.68,174.28,194.88
2007-11-29,182.22,153.99,174.02,194.04
2007-12-03,178.86,154.47,173.57,192.66
2007-12-04,179.81,154.84,173.25,191.66
2007-12-05,185.50,155.68,172.94,190.19
2007-12-06,189.95,155.20,173.12,191.03
2007-12-07,194.30,153.80,174.06,194.32
2007-12-09,194.21,153.79,175.50,197.21
2007-12-10,188.54,157.37,177.24,197.11
2007-12-11,190.86,157.84,178.29,198.74
2007-12-12,191.83,159.11,179.57,200.03
